ip,hostname,city,region,country,loc,org,postal,timezone,anycast
67.206.124.27,27-124-206-67-in-addr-arpa.brightok.net,Lone Grove,Oklahoma,US,"34.1754,-97.2628",AS8025 BrightNet Oklahoma,73443,America/Chicago,
137.118.130.3,137-118-130-3.peoplescom.net,Royse City,Texas,US,"32.9751,-96.3325",AS40317 Peoples Communications Inc.,75189,America/Chicago,
121.213.184.74,cpe-121-213-184-74.qb01.qld.asp.telstra.net,Brisbane,Queensland,AU,"-27.4679,153.0281",AS1221 Telstra Corporation Ltd,4000,Australia/Brisbane,
172.97.29.148,172-97-29-148.fttx.foothillsbroadband.com,Salyersville,Kentucky,US,"37.7526,-83.0688","AS394111 Foothills Rural Telephone Cooperative Corporation, Inc.",41465,America/New_York,
172.249.198.13,cpe-172-249-198-13.socal.res.rr.com,Whittier,California,US,"34.0011,-118.0371",AS20001 Charter Communications Inc,90601,America/Los_Angeles,
185.53.193.109,host185053193109.static.fidoka.tech,Tolentino,The Marches,IT,"43.2092,13.2852",AS200148 FIDOKA SRL,62029,Europe/Rome,
61.16.84.34,,Singapore,Singapore,SG,"1.2897,103.8501",AS23856 SPTEL PTE. LTD.,018989,Asia/Singapore,
68.168.207.28,,Josephine,Texas,US,"33.0612,-96.3072",AS40317 Peoples Communications Inc.,75164,America/Chicago,
104.244.119.31,mcfiuu.myakkatech.com,Samoset,Florida,US,"27.3648,-82.1849","AS16803 Myakka Technologies, Inc.",34251,America/New_York,
110.235.127.243,110235127243.ctinets.com,Tin Shui Wai,Yuen Long,HK,"22.4568,114.0023",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
210.97.61.238,,Seongnam-si,Gyeonggi-do,KR,"37.4340,127.1367",AS4766 Korea Telecom,13363,Asia/Seoul,
114.141.154.251,,Shanghai,Shanghai,CN,"31.2222,121.4581","AS45061 Shanghai Information Network Co.,Ltd.",,Asia/Shanghai,
78.138.59.168,,Kiryat Gat,Southern District,IL,"31.6100,34.7642",AS208905 Tamares Telecom Ltd,,Asia/Jerusalem,
119.246.19.166,119246019166.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
72.172.208.147,72-172-208-147.fidnet.com,Owensville,Missouri,US,"38.3456,-91.5015",AS11976 Fidelity Communication International Inc.,65066,America/Chicago,
5.128.229.74,l5-128-229-74.novotelecom.ru,Novosibirsk,Novosibirsk Oblast,RU,"55.0415,82.9346",AS31200 Novotelecom Ltd,630000,Asia/Novosibirsk,
38.105.253.56,,New York City,New York,US,"40.7143,-74.0060","AS29852 Honest Networks, LLC",10001,America/New_York,
218.215.215.157,218-215-215-157.sta.wbroadband.net.au,Perth,Western Australia,AU,"-31.9522,115.8614",AS9443 Vocus Retail,6000,Australia/Perth,
173.224.16.253,173-224-16-253.ptcnet.net,Pierce,Nebraska,US,"42.1992,-97.5267","AS46328 Four-U Technologies, LLC",68767,America/Chicago,
76.198.47.19,76-198-47-19.lightspeed.clmboh.sbcglobal.net,Urbancrest,Ohio,US,"39.8976,-83.0868","AS7018 AT&T Services, Inc.",43123,America/New_York,
17.253.126.171,usdal4-edge-get-006.b.aaplimg.com,Dallas,Texas,US,"32.7831,-96.8067",AS714 Apple Inc.,75201,America/Chicago,
208.123.242.93,dsl-242-93.geneseo.net,Atkinson,Illinois,US,"41.4209,-90.0151",AS15129 Geneseo Telephone Company,61235,America/Chicago,
98.190.230.148,wsip-98-190-230-148.tu.ok.cox.net,Tulsa,Oklahoma,US,"36.1540,-95.9928",AS22773 Cox Communications Inc.,74102,America/Chicago,
135.19.90.45,modemcable045.90-19-135.mc.videotron.ca,Montréal,Quebec,CA,"45.6753,-73.5016",AS5769 Videotron Telecom Ltee,H1A,America/Toronto,
17.253.10.17,brsao4-edge-bx-001.aaplimg.com,São Paulo,São Paulo,BR,"-23.5475,-46.6361",AS714 Apple Inc.,01000-000,America/Sao_Paulo,
121.223.199.58,cpe-121-223-199-58.static.vic.asp.telstra.net,Melbourne,Victoria,AU,"-37.8140,144.9633",AS1221 Telstra Corporation Ltd,3000,Australia/Melbourne,
46.163.121.90,n46-163-121-90.cnet.psmanaged.com,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
216.229.94.220,216-229-94-220.fidnet.com,Sullivan,Missouri,US,"38.2081,-91.1604",AS11976 Fidelity Communication International Inc.,63080,America/Chicago,
211.55.149.123,,Incheon,Incheon,KR,"37.4565,126.7052",AS4766 Korea Telecom,21505,Asia/Seoul,
58.165.25.124,cpe-58-165-25-124.bpw3-r-961.woo.qld.bigpond.net.au,Brisbane,Queensland,AU,"-27.4679,153.0281",AS1221 Telstra Corporation Ltd,4000,Australia/Brisbane,
83.253.88.24,c83-253-88-24.bredband.tele2.se,Staffanstorp,Skåne,SE,"55.6428,13.2064",AS1257 Tele2 Sverige AB,245 01,Europe/Stockholm,
49.128.65.28,,Taipei,Taiwan,TW,"25.0478,121.5319",AS59268 QLINKS,,Asia/Taipei,
195.32.125.142,host142-125-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
38.105.254.102,,New York City,New York,US,"40.7143,-74.0060","AS29852 Honest Networks, LLC",10001,America/New_York,
64.179.228.191,,Kansas City,Missouri,US,"39.0997,-94.5786",AS11320 LightEdge Solutions,64106,America/Chicago,
101.179.85.240,cpe-101-179-85-240.qb01.qld.asp.telstra.net,Brisbane,Queensland,AU,"-27.4679,153.0281",AS1221 Telstra Corporation Ltd,4000,Australia/Brisbane,
58.166.132.11,cpe-58-166-132-11.nb06.nsw.asp.telstra.net,Sydney,New South Wales,AU,"-33.8678,151.2073",AS1221 Telstra Corporation Ltd,1001,Australia/Sydney,
185.8.199.100,host-100-199-8-185.retail.pianetafibra.it,Cassano Magnago,Lombardy,IT,"45.6721,8.8269",AS202613 Aruba S.p.A.,21012,Europe/Rome,
167.89.227.67,,Yantis,Texas,US,"32.9304,-95.5750",AS40317 Peoples Communications Inc.,75497,America/Chicago,
173.89.208.239,cpe-173-89-208-239.columbus.res.rr.com,Columbus,Ohio,US,"39.9444,-82.8903",AS10796 Charter Communications Inc,43227,America/New_York,
80.237.221.203,n80-237-221-203.iblknet.hosteurope.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
141.66.193.119,,Karlsruhe,Baden-Wurttemberg,DE,"49.0094,8.4044",AS13040 FIZ Karlsruhe - Leibniz-Institut fuer Informationsinfrastruktur GmbH,76133,Europe/Berlin,
220.233.61.28,28.61.233.220.static.exetel.com.au,Sydney,New South Wales,AU,"-33.8678,151.2073",AS10143 Exetel Pty Ltd,1001,Australia/Sydney,
195.32.125.61,host61-125-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
38.125.207.172,,New York City,New York,US,"40.7143,-74.0060","AS29852 Honest Networks, LLC",10001,America/New_York,
144.6.32.157,,Sydney,New South Wales,AU,"-33.8678,151.2073",AS4764 Aussie Broadband,1001,Australia/Sydney,
223.132.175.86,fpdf84af56.knge102.ap.nuro.jp,Kawasaki,Kanagawa,JP,"35.5206,139.7172",AS2527 Sony Network Communications Inc.,205-0021,Asia/Tokyo,
72.172.214.151,72-172-214-151.fidnet.com,Sullivan,Missouri,US,"38.2081,-91.1604",AS11976 Fidelity Communication International Inc.,63080,America/Chicago,
72.15.62.113,72-15-62-113.beanfield.net,Toronto,Ontario,CA,"43.7001,-79.4163",AS21949 Beanfield Technologies Inc.,M5A,America/Toronto,
204.85.8.154,,Greenville,North Carolina,US,"35.6127,-77.3663",AS81 MCNC,27834,America/New_York,
17.253.61.83,sgsin3-edge-bx-017.b.aaplimg.com,Singapore,Singapore,SG,"1.2897,103.8501",AS714 Apple Inc.,018989,Asia/Singapore,
121.221.131.221,cpe-121-221-131-221.vb01.vic.asp.telstra.net,Melbourne,Victoria,AU,"-37.8140,144.9633",AS1221 Telstra Corporation Ltd,3000,Australia/Melbourne,
110.141.168.23,,Canberra,Australian Capital Territory,AU,"-35.2835,149.1281",AS1221 Telstra Corporation Ltd,2600,Australia/Sydney,
110.235.47.243,110235047243.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
176.28.27.90,carglass-mdm.telekom.ebf.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
199.47.251.223,mcfipu.myakkatech.com,Utopia,Florida,US,"27.2901,-82.3601","AS16803 Myakka Technologies, Inc.",34240,America/New_York,
104.244.118.239,mcfiuu.myakkatech.com,Utopia,Florida,US,"27.2901,-82.3601","AS16803 Myakka Technologies, Inc.",34240,America/New_York,
149.71.48.12,,Fermo,The Marches,IT,"43.1630,13.7227",AS203591 TECNO GENERAL S.R.L,63900,Europe/Rome,
17.253.69.206,jptyo5-vip-bx-006.b.aaplimg.com,Tokyo,Tokyo,JP,"35.6895,139.6917",AS6185 Apple Inc.,101-8656,Asia/Tokyo,
195.32.120.212,host212-120-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
38.125.204.254,,New York City,New York,US,"40.7085,-74.0135","AS29852 Honest Networks, LLC",10006,America/New_York,
46.163.121.70,psdkn-sentry.telekom.ebf.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
195.32.8.190,host190-8-32-195.dimensionesrl.eu,Milan,Lombardy,IT,"45.4643,9.1895",AS202870 Dimensione S.r.l.,20121,Europe/Rome,
113.211.39.4,,Johor Bahru,Johor,MY,"1.4655,103.7578",AS9534 Binariang Berhad,80500,Asia/Kuala_Lumpur,
107.204.20.168,107-204-20-168.lightspeed.rcsntx.sbcglobal.net,Frisco,Texas,US,"33.1507,-96.8236","AS7018 AT&T Services, Inc.",75034,America/Chicago,
59.148.129.164,059148129164.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
120.147.57.2,cpe-120-147-57-2.vb11.vic.asp.telstra.net,Melbourne,Victoria,AU,"-37.8140,144.9633",AS1221 Telstra Corporation Ltd,3000,Australia/Melbourne,
173.224.16.244,173-224-16-244.ptcnet.net,Pierce,Nebraska,US,"42.1992,-97.5267","AS46328 Four-U Technologies, LLC",68767,America/Chicago,
68.168.207.37,,Josephine,Texas,US,"33.0612,-96.3072",AS40317 Peoples Communications Inc.,75164,America/Chicago,
176.28.29.193,n176-28-29-193.cnet.hosteurope.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS61157 PlusServer GmbH,40210,Europe/Berlin,
68.119.58.111,068-119-058-111.biz.spectrum.com,Gainesville,Georgia,US,"34.2979,-83.8241",AS20115 Charter Communications,30501,America/New_York,
123.203.219.203,123203219203.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
64.253.79.138,inet-64-253-79-138.industryinet.com,Industry,Texas,US,"29.9724,-96.5022","AS32262 Industry I-Net, Inc.",78944,America/Chicago,
81.196.222.162,host-81-196-222-162.ploiesti.rdsnet.ro,Bucharest,București,RO,"44.4323,26.1063",AS8708 RCS & RDS SA,050011,Europe/Bucharest,
73.5.216.61,c-73-5-216-61.hsd1.fl.comcast.net,Orlando,Florida,US,"28.5383,-81.3792","AS7922 Comcast Cable Communications, LLC",32801,America/New_York,
80.0.163.41,my.virginmedia.com,Reading,England,GB,"51.4562,-0.9711",AS5089 Virgin Media Limited,RG1,Europe/London,
107.152.53.75,,Valliant,Oklahoma,US,"34.0023,-95.0938",AS2732 Valliant Telephone Co INC,74764,America/Chicago,
155.137.231.7,155137231007.ctinets.com,Yuen Long Kau Hui,Yuen Long,HK,"22.4500,114.0333",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
223.19.108.33,33-108-19-223-on-nets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9304 HGC Global Communications Limited,,Asia/Hong_Kong,
110.235.77.6,110235077006.ctinets.com,Hong Kong,Central and Western,HK,"22.2783,114.1747",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
144.137.17.188,cpe-144-137-17-188.static.qld.asp.telstra.net,Brisbane,Queensland,AU,"-27.4679,153.0281",AS1221 Telstra Corporation Ltd,4000,Australia/Brisbane,
208.123.246.69,dsl-246-69.geneseo.net,Cambridge,Illinois,US,"41.3036,-90.1929",AS15129 Geneseo Telephone Company,61238,America/Chicago,
155.137.246.141,155137246141.ctinets.com,Tuen Mun,Tuen Mun,HK,"22.3917,113.9716",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
185.52.113.85,host185052113085.static.fidoka.tech,Tolentino,The Marches,IT,"43.2092,13.2852",AS200148 FIDOKA SRL,62029,Europe/Rome,
185.125.72.70,,Frolovo,Volgograd Oblast,RU,"49.7713,43.6622","AS39442 JSC RDE ""Unico""",403530,Europe/Volgograd,
167.89.212.69,,Point,Texas,US,"32.9315,-95.8714",AS40317 Peoples Communications Inc.,75472,America/Chicago,
76.145.222.147,,Atlanta,Georgia,US,"33.7490,-84.3880","AS7922 Comcast Cable Communications, LLC",30302,America/New_York,
220.198.192.194,,Shenzhen,Guangdong,CN,"22.5455,114.0683",AS17622 China Unicom Guangzhou network,,Asia/Shanghai,
216.134.241.253,,Mountain View,Arkansas,US,"35.8684,-92.1176",AS18943 YELCOT TELEPHONE COMPANY,72560,America/Chicago,
138.19.114.120,138019114120.ctinets.com,Tseung Kwan O,Sai Kung,HK,"22.3279,114.2499",AS9269 Hong Kong Broadband Network Ltd.,,Asia/Hong_Kong,
205.240.66.5,,Santa Anna,Texas,US,"31.7421,-99.3217",AS18618 west central wireless,76878,America/Chicago,
17.253.117.1,twtpe2-edge-bx-001.aaplimg.com,Taipei,Taiwan,TW,"25.0478,121.5319",AS6185 Apple Inc.,,Asia/Taipei,
60.225.46.250,cpe-60-225-46-250.wb01.wa.asp.telstra.net,Perth,Western Australia,AU,"-31.9522,115.8614",AS1221 Telstra Corporation Ltd,6000,Australia/Perth,
122.150.117.224,122-150-117-224.dyn.ip.vocus.au,Melbourne,Victoria,AU,"-37.8140,144.9633",AS9443 Vocus Retail,3000,Australia/Melbourne,
167.179.183.242,167-179-183-242.a7b3b7.bne.nbn.aussiebb.net,Brisbane,Queensland,AU,"-27.4679,153.0281",AS4764 Aussie Broadband,4000,Australia/Brisbane,
125.168.14.167,167.14.168.125.sta.wbroadband.net.au,Melbourne,Victoria,AU,"-37.8140,144.9633",AS9443 Vocus Retail,3000,Australia/Melbourne,
